country,year,week,temperature,humidity,rainfall,pressure,wind_speed
India,2020,40,27.5,81.6,30.5,1003.2,1.0
India,2020,41,28.0,82.0,22.1,1007.8,5.3
India,2020,42,29.4,78.1,22.2,1006.3,2.0
India,2020,43,30.0,82.5,7.4,1005.9,1.1
India,2020,44,24.6,80.7,3.3,1007.0,1.0
India,2020,45,24.6,77.7,12.7,1003.7,1.1
India,2020,46,23.7,75.9,8.9,1002.8,2.0
India,2020,47,22.2,69.8,21.6,1010.1,5.7
India,2020,48,20.8,78.1,9.2,1006.3,5.4
India,2020,49,23.0,67.4,14.0,1007.5,2.9
India,2020,50,23.6,60.9,9.8,1009.3,4.3
India,2020,51,20.7,64.8,9.2,1007.8,5.2
India,2020,52,20.7,59.4,9.5,1010.4,4.3
India,2021,1,20.0,51.8,17.8,1014.4,3.2
India,2021,2,18.4,45.0,19.2,1009.8,5.6
India,2021,3,21.1,48.0,11.0,1014.7,5.0
India,2021,4,21.4,48.9,2.1,1013.2,4.9
India,2021,5,20.1,50.6,5.0,1014.1,5.8
India,2021,6,22.3,40.5,10.6,1016.0,7.6
India,2021,7,21.6,41.9,10.2,1011.7,6.9
India,2021,8,22.3,40.0,14.0,1011.6,9.5
India,2021,9,20.1,35.2,15.7,1012.2,5.7
India,2021,10,25.3,40.6,14.2,1014.5,8.3
India,2021,11,25.0,34.6,10.7,1017.0,4.8
India,2021,12,28.2,38.9,9.9,1015.6,7.3
India,2021,13,28.2,37.4,11.8,1015.7,5.5
India,2021,14,29.4,29.5,5.8,1014.4,6.0
India,2021,15,25.3,45.9,17.8,1016.3,8.9
India,2021,16,28.0,30.2,16.0,1015.5,10.1
India,2021,17,29.8,37.1,19.2,1014.6,8.4
India,2021,18,30.0,48.6,18.1,1012.5,7.8
India,2021,19,31.7,45.1,18.9,1012.2,5.1
India,2021,20,33.6,49.9,19.2,1013.5,7.7
India,2021,21,31.5,46.2,36.4,1010.0,6.8
India,2021,22,33.6,51.5,36.8,1013.7,5.1
India,2021,23,33.5,56.2,53.2,1010.0,6.1
India,2021,24,35.2,49.8,73.5,1009.9,1.4
India,2021,25,35.0,58.4,87.2,1010.9,5.6
India,2021,26,36.4,57.1,107.8,1010.4,5.0
India,2021,27,35.2,74.6,133.2,1008.2,5.8
India,2021,28,37.9,64.9,141.7,1006.1,5.3
India,2021,29,36.8,73.4,162.9,1012.6,3.0
India,2021,30,35.4,75.4,158.9,1009.3,4.9
India,2021,31,35.6,83.8,146.8,1008.4,3.8
India,2021,32,36.1,78.2,141.8,1007.5,1.7
India,2021,33,34.9,86.7,127.0,1010.3,5.8
India,2021,34,36.8,87.0,105.4,1007.0,2.2
India,2021,35,32.5,78.7,92.9,999.8,2.3
India,2021,36,31.4,74.6,70.9,1007.1,3.3
India,2021,37,31.2,83.1,50.0,1004.1,3.0
India,2021,38,29.7,84.3,40.4,1007.8,1.1
India,2021,39,31.2,80.9,30.2,1005.0,3.6
India,2021,40,28.3,83.2,26.5,1006.0,1.2
India,2021,41,27.6,83.5,11.3,1004.6,4.8
India,2021,42,28.5,84.3,11.6,1003.6,1.3
India,2021,43,25.4,84.1,15.1,1002.9,2.5
India,2021,44,23.7,77.8,10.2,1006.7,1.9
India,2021,45,21.9,72.4,14.5,1004.1,4.2
India,2021,46,24.2,75.0,15.1,1008.7,1.0
India,2021,47,22.9,77.5,12.2,1008.4,6.7
India,2021,48,20.9,70.1,8.5,1010.4,1.0
India,2021,49,19.0,67.1,1.0,1009.2,1.6
India,2021,50,19.9,63.7,8.9,1009.7,2.6
India,2021,51,20.7,60.6,7.3,1007.3,6.5
India,2021,52,17.6,62.2,14.0,1006.7,6.5
India,2022,1,22.5,49.1,14.8,1009.4,5.3
India,2022,2,22.4,53.4,8.7,1010.6,6.8
India,2022,3,19.4,40.5,9.2,1013.3,4.5
India,2022,4,20.6,46.9,2.4,1015.9,5.9
India,2022,5,16.9,54.3,11.2,1012.3,8.5
India,2022,6,22.3,38.2,15.6,1014.1,5.5
India,2022,7,22.1,36.4,12.9,1014.2,6.0
India,2022,8,20.9,34.8,2.0,1012.2,8.7
India,2022,9,23.9,40.0,4.5,1015.5,8.0
India,2022,10,23.7,39.0,8.4,1012.9,6.8
India,2022,11,23.1,35.9,12.6,1015.0,6.3
India,2022,12,27.3,36.3,7.8,1015.6,8.9
India,2022,13,25.8,35.3,7.4,1013.0,9.1
India,2022,14,28.1,37.5,13.8,1015.0,9.0
India,2022,15,26.8,36.2,2.5,1011.6,7.6
India,2022,16,27.1,36.9,7.1,1015.6,9.3
India,2022,17,32.2,33.7,1.1,1013.9,7.0
India,2022,18,31.6,48.5,10.9,1013.7,8.5
India,2022,19,31.6,51.8,15.1,1013.2,6.7
India,2022,20,31.1,44.2,22.4,1014.7,7.1
India,2022,21,31.8,46.9,27.0,1013.7,6.7
India,2022,22,30.2,48.2,43.7,1010.3,4.8
India,2022,23,36.7,61.0,51.1,1013.7,6.2
India,2022,24,36.6,60.3,76.4,1011.0,7.3
India,2022,25,36.8,58.8,93.8,1010.5,3.1
India,2022,26,35.2,67.3,114.0,1011.2,6.0
India,2022,27,35.0,64.3,138.8,1009.1,5.4
India,2022,28,35.1,66.3,153.3,1012.2,2.6
India,2022,29,37.5,65.3,162.2,1010.1,4.9
India,2022,30,36.4,70.7,158.1,1007.4,4.1
India,2022,31,34.2,76.3,151.7,1005.7,4.3
India,2022,32,36.0,87.3,151.3,1005.2,4.3
India,2022,33,33.8,82.7,126.3,1004.2,3.0
India,2022,34,30.8,76.5,115.9,1005.9,3.2
India,2022,35,33.9,80.3,88.9,1005.0,2.5
India,2022,36,35.9,85.3,73.7,1003.5,1.7
India,2022,37,30.8,79.5,59.5,1004.7,1.0
India,2022,38,29.8,80.0,34.9,1002.1,1.7
India,2022,39,30.9,80.2,33.6,1005.1,3.6
India,2022,40,27.5,81.2,19.2,1003.7,3.3
India,2022,41,28.9,87.6,9.7,1006.2,3.2
India,2022,42,26.6,80.3,17.5,1006.6,1.1
India,2022,43,28.1,82.1,15.3,1007.8,5.4
India,2022,44,27.6,78.4,14.6,1004.6,4.3
India,2022,45,24.8,82.8,8.9,1008.0,3.4
India,2022,46,23.2,77.9,6.2,1007.2,3.5
India,2022,47,20.4,69.7,9.2,1006.6,2.9
India,2022,48,21.2,67.2,13.0,1005.8,3.6
India,2022,49,20.6,65.5,14.6,1007.0,6.5
India,2022,50,20.4,56.2,14.8,1007.0,6.6
India,2022,51,19.3,57.6,7.1,1008.3,3.8
India,2022,52,21.3,58.6,4.5,1009.4,3.7
India,2023,1,19.8,45.1,11.5,1006.4,4.5
India,2023,2,22.6,50.0,0.0,1011.8,5.6
India,2023,3,22.8,47.7,13.4,1013.1,6.2
India,2023,4,21.7,49.3,5.6,1015.3,5.5
India,2023,5,18.1,48.2,9.1,1014.4,7.4
India,2023,6,20.2,37.9,7.5,1009.5,7.3
India,2023,7,20.0,38.9,1.7,1013.9,5.6
India,2023,8,21.8,38.4,7.8,1013.5,5.2
India,2023,9,18.4,34.8,2.4,1015.5,9.5
India,2023,10,23.5,42.6,10.8,1015.7,7.6
India,2023,11,23.1,42.1,8.6,1013.1,7.1
India,2023,12,27.3,40.9,16.9,1013.8,11.0
India,2023,13,22.1,37.9,21.9,1011.5,7.7
India,2023,14,27.9,37.5,3.8,1011.2,6.2
India,2023,15,27.5,36.1,13.0,1016.3,5.0
India,2023,16,25.8,37.5,15.4,1013.5,8.5
India,2023,17,28.1,41.9,13.5,1015.9,7.4
India,2023,18,31.8,39.4,12.5,1011.3,8.6
India,2023,19,33.4,47.6,20.3,1014.2,6.8
India,2023,20,31.5,48.1,25.6,1012.5,6.3
India,2023,21,33.8,47.2,35.2,1008.6,6.4
India,2023,22,34.0,51.9,36.4,1010.7,7.3
India,2023,23,32.9,58.9,57.3,1015.2,7.8
India,2023,24,35.9,53.5,71.4,1011.3,2.5
India,2023,25,37.2,56.8,96.3,1009.8,4.0
India,2023,26,35.9,67.7,106.3,1014.6,6.0
India,2023,27,37.8,62.1,124.6,1012.7,4.2
India,2023,28,34.0,66.0,136.8,1012.7,3.5
India,2023,29,37.7,72.5,167.1,1010.3,5.6
India,2023,30,36.6,75.0,162.5,1007.5,4.3
India,2023,31,37.3,81.1,157.9,1006.0,5.2
India,2023,32,33.9,77.2,145.2,1005.9,2.3
India,2023,33,32.6,78.9,130.7,1006.5,2.1
India,2023,34,30.1,80.7,109.0,1005.8,1.0
India,2023,35,32.4,83.6,96.2,1005.7,1.6
India,2023,36,35.0,81.9,66.2,1003.0,1.9
India,2023,37,33.0,83.8,57.3,1010.0,1.5
India,2023,38,32.6,88.8,29.3,1005.1,2.4
India,2023,39,28.1,85.1,39.4,1002.4,1.0
India,2023,40,27.9,92.5,18.2,1005.0,3.2
India,2023,41,28.5,75.5,10.4,1005.2,4.9
India,2023,42,27.4,85.3,15.4,1004.5,2.8
India,2023,43,26.6,85.4,11.5,1007.1,3.6
India,2023,44,27.0,81.1,12.0,1004.2,6.3
India,2023,45,24.6,71.0,10.9,1007.8,4.2
India,2023,46,23.3,78.2,9.3,1010.1,1.0
India,2023,47,22.1,73.5,3.1,1008.5,3.5
India,2023,48,21.3,66.1,16.3,1003.7,3.8
India,2023,49,20.6,70.0,13.3,1007.2,2.8
India,2023,50,19.2,64.9,4.8,1007.7,4.8
India,2023,51,20.8,56.0,9.2,1007.4,2.6
India,2023,52,17.5,55.5,3.7,1009.8,4.4
India,2024,1,20.8,53.2,15.9,1009.5,6.9
India,2024,2,19.3,50.5,15.5,1008.3,4.9
India,2024,3,18.9,48.4,7.7,1011.3,5.5
India,2024,4,22.0,49.6,6.3,1012.8,4.1
India,2024,5,21.6,45.1,17.0,1013.6,5.9
India,2024,6,17.0,41.5,5.6,1015.2,5.5
India,2024,7,19.4,38.0,16.2,1012.2,7.8
India,2024,8,22.8,40.4,4.2,1010.4,8.1
India,2024,9,22.8,38.0,11.7,1014.8,8.4
India,2024,10,26.4,37.5,6.2,1011.3,8.6
India,2024,11,24.8,34.8,22.0,1011.7,6.8
India,2024,12,24.8,32.9,15.9,1011.8,7.9
India,2024,13,27.6,32.3,4.8,1019.3,10.4
India,2024,14,27.1,41.2,5.5,1011.7,8.3
India,2024,15,29.7,33.0,14.4,1013.7,7.7
India,2024,16,28.2,38.2,10.8,1014.8,7.9
India,2024,17,31.1,42.0,17.3,1016.0,7.4
India,2024,18,33.0,37.0,11.2,1018.3,6.2
India,2024,19,30.7,44.0,25.8,1008.5,6.8
India,2024,20,32.5,37.0,18.5,1016.0,6.6
India,2024,21,35.6,46.0,29.0,1011.9,7.4
India,2024,22,32.3,45.9,39.8,1016.2,6.2
India,2024,23,32.2,50.8,50.7,1012.1,5.8
India,2024,24,34.4,58.3,80.3,1007.6,2.1
India,2024,25,33.7,65.7,82.5,1009.9,7.5
India,2024,26,34.1,63.9,111.6,1012.1,3.7
India,2024,27,37.3,65.5,124.2,1008.3,2.6
India,2024,28,37.0,68.3,141.6,1011.2,3.6
India,2024,29,34.6,77.7,150.6,1008.3,4.1
India,2024,30,33.1,74.9,164.3,1009.6,4.1
India,2024,31,37.3,74.2,157.7,1011.4,2.5
India,2024,32,36.7,77.1,147.9,1005.5,3.9
India,2024,33,36.6,82.0,136.4,1004.5,1.9
India,2024,34,34.4,81.6,115.6,1007.8,1.3
India,2024,35,33.8,81.4,83.9,1004.6,2.5
India,2024,36,31.3,79.7,72.9,1006.3,5.0
India,2024,37,30.9,88.3,56.2,1005.1,2.7
India,2024,38,30.4,86.2,42.8,1003.6,1.9
India,2024,39,31.5,86.8,27.4,1009.2,3.8
India,2024,40,31.9,77.0,17.1,1003.8,2.6
India,2024,41,28.3,86.5,12.8,1004.0,3.4
India,2024,42,29.8,79.9,8.2,1007.0,2.5
India,2024,43,25.9,86.1,18.9,1004.9,3.7
India,2024,44,24.4,78.9,18.3,1005.3,4.3
India,2024,45,27.2,70.8,7.6,1006.1,1.0
India,2024,46,26.7,72.9,13.8,1004.8,3.4
India,2024,47,23.8,75.7,14.8,1010.3,1.5
India,2024,48,22.8,68.1,14.8,1007.3,4.4
India,2024,49,22.2,68.2,12.5,1007.1,3.2
India,2024,50,20.2,69.4,11.1,1008.8,2.5
India,2024,51,20.1,60.6,18.0,1007.2,3.3
India,2024,52,20.8,53.0,13.4,1010.5,3.2
India,2025,1,15.3,55.1,4.5,1011.2,2.8
India,2025,2,17.1,42.9,12.4,1012.7,6.5
India,2025,3,19.7,53.7,11.5,1010.0,7.0
India,2025,4,18.5,48.1,14.3,1013.6,3.5
India,2025,5,21.2,32.9,7.2,1017.9,7.5
India,2025,6,19.9,31.0,3.2,1012.7,6.2
India,2025,7,22.9,43.4,6.6,1016.5,6.0
India,2025,8,21.0,36.8,10.0,1012.2,9.3
India,2025,9,24.7,39.9,7.4,1014.7,5.7
India,2025,10,23.2,40.1,3.6,1010.3,10.1
India,2025,11,26.1,30.1,21.0,1016.4,9.4
India,2025,12,24.6,33.7,14.0,1016.6,8.3
India,2025,13,24.6,35.8,5.5,1015.6,10.8
India,2025,14,31.7,39.0,13.8,1013.3,7.3
India,2025,15,31.1,37.2,0.0,1015.7,7.8
India,2025,16,29.8,40.7,14.8,1019.5,11.1
India,2025,17,30.4,40.8,15.8,1013.9,5.8
India,2025,18,30.5,43.7,8.2,1011.0,7.8
India,2025,19,35.2,43.4,22.1,1014.8,7.4
India,2025,20,32.6,49.9,18.5,1014.3,7.4
India,2025,21,34.1,55.1,29.1,1011.7,4.3
India,2025,22,34.7,44.8,42.2,1012.4,7.1
India,2025,23,32.8,53.6,58.1,1013.8,4.2
India,2025,24,33.4,58.2,67.2,1008.6,5.1
India,2025,25,34.5,56.8,91.6,1005.7,5.0
India,2025,26,35.9,66.1,114.2,1009.2,3.8
India,2025,27,35.6,67.2,124.5,1013.5,2.5
India,2025,28,35.0,62.8,143.0,1007.8,3.1
India,2025,29,37.0,76.8,149.6,1013.4,2.1
India,2025,30,36.5,68.2,167.9,1005.8,5.6
India,2025,31,33.3,75.5,165.8,1005.8,3.0
India,2025,32,32.5,76.6,148.1,1006.2,3.4
India,2025,33,34.6,83.0,119.8,1007.0,3.0
India,2025,34,32.3,77.8,104.3,1005.7,3.2
India,2025,35,30.0,80.6,83.6,1005.9,2.5
India,2025,36,32.6,78.1,66.7,1007.6,1.9
India,2025,37,31.1,79.6,46.8,1006.7,2.7
India,2025,38,32.9,82.5,45.2,1004.5,1.0
India,2025,39,28.0,87.3,16.7,1000.7,3.8
India,2025,40,25.6,90.6,28.4,1004.2,2.8
India,2025,41,29.0,81.7,16.0,1005.4,2.7
India,2025,42,26.1,83.5,13.0,1008.6,2.9
India,2025,43,28.1,76.7,9.7,1006.4,2.1
India,2025,44,25.7,77.0,8.9,1006.1,1.0
India,2025,45,26.6,74.4,16.5,1005.7,1.6
India,2025,46,22.5,73.5,18.3,1008.2,3.1
India,2025,47,20.0,67.9,8.5,1008.1,5.9
India,2025,48,20.5,67.5,20.5,1008.1,4.8
India,2025,49,21.3,71.5,15.1,1006.9,3.9
India,2025,50,21.0,60.4,22.5,1014.5,2.3
India,2025,51,19.8,54.9,16.3,1009.1,4.7
India,2025,52,19.9,57.2,9.9,1008.8,4.5
Nigeria,2020,1,20.8,59.2,0.0,1010.1,6.2
Nigeria,2020,2,21.1,53.5,0.0,1012.6,6.0
Nigeria,2020,3,22.3,52.5,0.0,1009.8,6.0
Nigeria,2020,4,22.1,47.3,0.0,1016.3,4.1
Nigeria,2020,5,25.9,47.4,0.0,1014.0,6.5
Nigeria,2020,6,22.2,46.9,0.0,1012.8,6.4
Nigeria,2020,7,24.6,40.4,0.0,1014.1,5.4
Nigeria,2020,8,23.9,37.3,0.0,1015.8,7.7
Nigeria,2020,9,23.0,36.3,0.0,1013.3,8.0
Nigeria,2020,10,24.1,35.9,0.0,1013.3,6.8
Nigeria,2020,11,23.2,31.4,0.0,1018.2,6.8
Nigeria,2020,12,27.6,36.0,0.0,1009.9,7.8
Nigeria,2020,13,23.6,38.2,0.0,1012.8,9.9
Nigeria,2020,14,23.4,41.8,0.0,1015.8,9.8
Nigeria,2020,15,27.3,32.1,0.0,1016.5,8.7
Nigeria,2020,16,27.7,37.9,0.0,1010.4,8.5
Nigeria,2020,17,28.6,41.9,0.0,1013.3,6.5
Nigeria,2020,18,26.5,31.8,0.0,1012.9,6.1
Nigeria,2020,19,28.8,36.7,0.0,1015.7,7.6
Nigeria,2020,20,27.9,32.0,0.0,1012.5,7.7
Nigeria,2020,21,28.3,40.0,0.0,1015.9,4.7
Nigeria,2020,22,30.1,40.3,0.0,1017.1,6.7
Nigeria,2020,23,27.7,38.3,0.0,1014.4,8.4
Nigeria,2020,24,27.7,46.0,13.7,1012.7,4.0
Nigeria,2020,25,27.6,50.0,45.8,1009.1,6.9
Nigeria,2020,26,29.1,56.3,32.8,1008.4,6.8
Nigeria,2020,27,27.7,52.8,59.2,1011.3,3.9
Nigeria,2020,28,27.4,52.1,57.6,1008.1,4.8
Nigeria,2020,29,30.6,60.3,68.9,1004.4,1.9
Nigeria,2020,30,28.2,55.6,90.3,1007.6,5.1
Nigeria,2020,31,28.7,70.3,90.6,1008.3,5.7
Nigeria,2020,32,28.3,61.4,98.8,1004.9,2.3
Nigeria,2020,33,27.2,68.5,98.7,1007.5,1.0
Nigeria,2020,34,25.0,76.4,109.7,1006.6,2.1
Nigeria,2020,35,25.8,73.6,113.0,1007.6,1.5
Nigeria,2020,36,24.9,72.7,121.3,1004.2,1.3
Nigeria,2020,37,26.0,74.3,115.0,1006.1,1.0
Nigeria,2020,38,26.8,74.9,110.8,1003.9,3.5
Nigeria,2020,39,22.7,78.1,124.7,1006.0,2.9
Nigeria,2020,40,24.8,76.3,107.1,1005.2,3.4
Nigeria,2020,41,21.7,71.4,90.8,1006.8,2.3
Nigeria,2020,42,21.4,75.0,96.1,1006.4,1.2
Nigeria,2020,43,22.8,71.2,85.4,1008.6,4.4
Nigeria,2020,44,23.1,76.8,70.2,1004.1,1.4
Nigeria,2020,45,18.9,75.3,76.7,1006.0,5.0
Nigeria,2020,46,19.7,73.9,52.4,1007.5,2.6
Nigeria,2020,47,21.8,72.1,65.0,1009.6,4.0
Nigeria,2020,48,21.3,70.5,39.3,1006.3,5.6
Nigeria,2020,49,18.4,65.6,34.2,1010.6,4.7
Nigeria,2020,50,20.3,60.7,10.8,1005.2,1.0
Nigeria,2020,51,22.1,59.2,0.0,1009.2,4.4
Nigeria,2020,52,23.2,59.3,0.0,1007.4,8.2
Nigeria,2021,1,17.2,56.2,0.0,1013.7,6.1
Nigeria,2021,2,21.8,58.7,0.0,1012.0,5.6
Nigeria,2021,3,22.9,53.1,0.0,1013.2,2.7
Nigeria,2021,4,23.0,43.9,0.0,1013.2,5.8
Nigeria,2021,5,21.0,42.9,0.0,1012.2,7.6
Nigeria,2021,6,23.0,44.6,0.0,1014.3,6.4
Nigeria,2021,7,24.0,42.6,0.0,1014.1,4.9
Nigeria,2021,8,22.6,44.8,0.0,1014.5,6.2
Nigeria,2021,9,20.9,39.8,0.0,1013.6,8.7
Nigeria,2021,10,25.1,33.0,0.0,1011.6,8.2
Nigeria,2021,11,27.0,40.6,0.0,1015.0,7.7
Nigeria,2021,12,26.4,35.5,0.0,1012.0,9.6
Nigeria,2021,13,23.2,31.8,0.0,1018.6,9.1
Nigeria,2021,14,24.9,29.0,0.0,1016.4,7.3
Nigeria,2021,15,27.8,28.4,0.0,1013.8,8.3
Nigeria,2021,16,24.2,33.3,0.0,1013.9,7.5
Nigeria,2021,17,27.4,36.8,0.0,1018.1,6.9
Nigeria,2021,18,27.8,38.1,0.0,1014.3,6.3
Nigeria,2021,19,28.3,37.6,0.0,1016.2,8.3
Nigeria,2021,20,27.9,35.1,0.0,1015.0,3.7
Nigeria,2021,21,28.9,41.0,0.0,1011.2,5.8
Nigeria,2021,22,27.9,43.3,0.0,1009.0,7.3
Nigeria,2021,23,29.3,46.5,0.0,1012.4,5.3
Nigeria,2021,24,28.5,50.1,13.0,1010.6,7.7
Nigeria,2021,25,27.0,54.3,20.4,1009.3,6.4
Nigeria,2021,26,28.9,47.2,40.8,1013.9,4.3
Nigeria,2021,27,25.6,47.3,62.9,1012.0,4.2
Nigeria,2021,28,27.5,55.0,67.6,1009.6,5.5
Nigeria,2021,29,29.1,56.2,78.8,1009.0,3.9
Nigeria,2021,30,26.9,61.8,70.4,1005.7,6.0
Nigeria,2021,31,26.4,62.1,96.2,1007.0,1.4
Nigeria,2021,32,26.6,70.7,94.2,1002.5,4.8
Nigeria,2021,33,26.1,61.3,88.5,1006.4,5.4
Nigeria,2021,34,25.5,70.8,109.3,1005.1,1.0
Nigeria,2021,35,23.0,69.6,109.7,1004.8,3.2
Nigeria,2021,36,25.6,71.6,88.5,1002.0,2.7
Nigeria,2021,37,22.5,69.7,119.4,1004.9,4.9
Nigeria,2021,38,25.0,74.5,109.7,1005.2,5.8
Nigeria,2021,39,24.7,75.0,124.7,1008.3,3.3
Nigeria,2021,40,23.1,81.4,98.2,1007.2,3.2
Nigeria,2021,41,21.8,77.8,96.7,1003.9,1.9
Nigeria,2021,42,22.3,74.9,103.3,1003.7,3.7
Nigeria,2021,43,23.1,73.4,88.6,1007.3,2.1
Nigeria,2021,44,21.6,68.4,80.1,1007.3,4.1
Nigeria,2021,45,20.0,70.9,63.4,1004.7,3.1
Nigeria,2021,46,21.6,73.4,57.8,1008.1,4.8
Nigeria,2021,47,18.5,70.0,50.2,1009.6,2.4
Nigeria,2021,48,22.8,73.5,34.9,1009.4,4.1
Nigeria,2021,49,23.2,68.6,20.8,1005.8,6.9
Nigeria,2021,50,21.5,66.1,12.5,1010.5,6.2
Nigeria,2021,51,20.8,59.0,2.1,1012.7,4.1
Nigeria,2021,52,16.7,61.8,0.0,1006.5,3.7
Nigeria,2022,1,20.4,58.2,0.0,1007.2,6.6
Nigeria,2022,2,23.2,50.8,0.0,1009.1,4.4
Nigeria,2022,3,19.2,48.6,0.0,1012.5,6.6
Nigeria,2022,4,22.8,48.0,0.0,1011.7,5.9
Nigeria,2022,5,20.5,49.5,0.0,1016.1,6.4
Nigeria,2022,6,25.8,39.2,0.0,1011.4,7.9
Nigeria,2022,7,24.1,38.5,0.0,1011.1,4.2
Nigeria,2022,8,24.1,46.5,0.0,1014.7,7.8
Nigeria,2022,9,23.7,45.0,0.0,1012.6,6.6
Nigeria,2022,10,23.9,37.5,0.0,1014.6,6.9
Nigeria,2022,11,26.7,37.8,0.0,1015.3,7.5
Nigeria,2022,12,26.4,31.3,0.0,1016.9,7.9
Nigeria,2022,13,25.4,36.0,0.0,1011.9,9.0
Nigeria,2022,14,29.1,31.7,0.0,1018.1,7.5
Nigeria,2022,15,25.0,26.8,0.0,1012.5,7.5
Nigeria,2022,16,26.6,29.8,0.0,1015.1,7.2
Nigeria,2022,17,28.6,33.3,0.0,1013.4,7.4
Nigeria,2022,18,29.6,40.4,0.0,1015.4,7.2
Nigeria,2022,19,26.7,39.5,0.0,1012.4,5.7
Nigeria,2022,20,29.8,37.6,0.0,1013.6,7.0
Nigeria,2022,21,28.5,42.6,0.0,1016.6,7.7
Nigeria,2022,22,26.9,45.0,1.5,1014.6,6.4
Nigeria,2022,23,27.6,45.0,9.5,1012.4,5.1
Nigeria,2022,24,30.0,46.5,0.0,1010.8,6.8
Nigeria,2022,25,27.7,39.5,38.4,1013.6,2.4
Nigeria,2022,26,30.1,51.4,46.7,1008.9,6.4
Nigeria,2022,27,28.1,53.5,55.6,1007.7,5.7
Nigeria,2022,28,27.8,54.7,59.7,1006.8,5.5
Nigeria,2022,29,27.2,62.5,66.3,1006.6,5.1
Nigeria,2022,30,26.6,59.5,80.6,1005.0,1.5
Nigeria,2022,31,28.1,59.8,88.8,1004.6,1.8
Nigeria,2022,32,26.0,65.5,91.3,1008.2,3.5
Nigeria,2022,33,27.7,57.5,102.0,1011.1,5.0
Nigeria,2022,34,25.0,65.6,101.6,1005.7,2.6
Nigeria,2022,35,26.0,66.0,112.7,1007.0,2.5
Nigeria,2022,36,26.6,73.9,116.8,1002.7,1.4
Nigeria,2022,37,24.1,69.5,122.1,1003.3,1.0
Nigeria,2022,38,22.3,70.9,114.6,1003.9,4.9
Nigeria,2022,39,24.8,71.9,119.7,1003.6,1.0
Nigeria,2022,40,24.6,71.3,96.5,1005.2,3.8
Nigeria,2022,41,23.9,69.2,99.3,1005.6,1.0
Nigeria,2022,42,21.5,68.4,97.0,1003.6,1.0
Nigeria,2022,43,21.8,70.4,82.7,1006.3,2.0
Nigeria,2022,44,21.4,66.5,82.1,1011.1,3.6
Nigeria,2022,45,20.6,70.7,75.5,1003.2,4.1
Nigeria,2022,46,21.1,69.3,55.4,1009.2,3.4
Nigeria,2022,47,21.3,70.2,50.4,1004.5,4.1
Nigeria,2022,48,22.5,70.8,39.8,1011.8,6.9
Nigeria,2022,49,22.1,67.6,21.6,1007.9,4.7
Nigeria,2022,50,24.3,63.3,11.5,1010.3,4.3
Nigeria,2022,51,23.1,59.3,1.6,1006.7,4.7
Nigeria,2022,52,20.2,52.8,0.0,1008.9,5.0
Nigeria,2023,1,22.0,67.3,0.0,1012.2,4.1
Nigeria,2023,2,25.0,58.2,0.0,1015.6,7.0
Nigeria,2023,3,23.2,46.9,0.0,1015.6,5.1
Nigeria,2023,4,20.6,56.0,0.0,1008.6,8.7
Nigeria,2023,5,22.5,48.3,0.0,1012.8,10.6
Nigeria,2023,6,24.6,45.5,0.0,1011.5,6.1
